niche,product,P,W,F,E,R,S,I,Z,C,V,Rp,B,D,MTO,status,exclusion_reasons,filter_score
Personalised wall art,Personalised ancestral townland map print,3,1,0,0,0,0,0,1,2,4,0,5,3,1,PASS,,83.4
New communities in Ireland,Dual home-country / Irish-town map print,3,1,0,0,0,0,0,0,2,3,0,5,2,1,PASS,,81.1
Memorial,Memorial remembrance print,3,1,0,0,0,0,0,0,3,2,0,5,3,1,PASS,,79.9
Genealogy,Family tree chart print (fill-in or bespoke),3,1,0,0,0,0,0,1,3,3,0,5,3,1,PASS,,79.4
Kids room,Personalised canvas height chart,3,1,0,0,0,0,0,0,3,3,0,5,2,1,PASS,,78.7
New communities in Ireland,Bilingual name print,2,1,0,0,0,0,0,0,2,2,0,5,2,1,PASS,,77.4
Office gifts,Retirement map print (hometown),3,1,0,0,0,0,0,0,3,2,0,5,2,1,PASS,,77.1
Irish heritage gifts,Surname origin and meaning print,3,1,0,0,0,0,0,1,4,3,0,5,3,1,PASS,,77.0
Kids room,Personalised nursery name print,2,1,0,0,0,0,0,0,4,3,0,5,3,1,PASS,,77.0
Personalised wall art,Personalised Irish-language name print,2,1,0,0,0,0,0,0,3,3,0,5,2,1,PASS,,76.6
Irish language learning,Gaeilge vocabulary flashcards (own),2,1,0,0,0,0,0,0,2,3,0,4,2,1,PASS,,76.3
Puzzles & games,Irish slang card game (own design),2,1,0,0,0,0,0,1,3,4,0,4,3,1,PASS,,76.2
Pet personalisation,Engraved pet ID tag,1,1,0,0,0,0,0,0,4,2,1,5,3,1,PASS,,76.1
Irish heritage gifts,Engraved Ogham name plaque,3,2,0,0,0,0,0,1,3,4,0,5,2,1,PASS,,75.5
Party & events,Personalised party banner,2,1,0,0,0,0,0,1,4,3,0,5,3,1,PASS,,74.9
Aran knitting,Aran stitch pattern booklet (own design),2,1,0,0,0,0,0,0,2,2,0,4,2,1,PASS,,74.7
Weddings,Wedding guest book alternative,3,2,0,0,0,0,0,1,4,3,0,5,3,1,PASS,,74.3
Irish language learning,Gaeilge phrase wall print,2,1,0,0,0,0,0,0,3,3,0,4,2,1,PASS,,73.9
Budget air travel,Ryanair-size under-seat bag 40x20x25,3,2,0,0,0,0,0,0,4,5,0,3,4,0,PASS,,73.8
Aran knitting,Aran yarn and pattern kit,3,2,0,0,0,0,0,1,3,3,1,4,3,0,PASS,,73.6
New communities in Ireland,Irish-life phrasebook cards,2,1,0,0,0,0,0,0,2,3,0,4,1,1,PASS,,73.5
Golf,Personalised golf ball marker,2,1,0,0,0,0,0,0,4,2,0,5,2,1,PASS,,72.6
Budget air travel,Personalised leather luggage tag,2,1,0,0,0,0,0,0,4,2,0,5,2,1,PASS,,72.6
Genealogy,Ancestry research journal,2,1,0,0,0,0,0,0,3,2,0,4,2,1,PASS,,72.3
Apparel basics,Embroidered beanie,2,1,0,0,0,0,0,1,4,3,0,4,3,1,PASS,,72.2
Personalised gifts,Custom photo jigsaw,2,2,0,0,0,0,0,1,4,3,0,5,3,1,PASS,,72.2
Irish trad music,Tune book print,2,1,0,0,0,0,0,0,2,2,0,4,1,1,PASS,,71.9
Music accessories,Personalised guitar strap,2,1,0,0,0,0,0,0,4,3,0,4,2,1,PASS,,71.5
School,Personalised name labels,1,1,0,0,0,0,0,1,4,2,1,4,3,1,PASS,,71.3
